Input Host,IPv4,FQDN,Country,Postal,City,State,Lat,Long,VirusTotal Detected URLs,VirusTotal Detected Communicating Samples,VirusTotal Detected Downloaded Samples,VirusTotal Link,PassiveTotal Whois Contact Email,PassiveTotal Whois Server,PassiveTotal Whois Updated,PassiveTotal Whois Admin Organization,PassiveTotal Whois Tech Organization,PassiveTotal Whois Registrant Organization,PassiveTotal Whois Registrant Name,PassiveTotal Whois Country,PassiveTotal Whois Registrar,PassiveTotal Enrichment Network,PassiveTotal Enrichment Tags,PassiveTotal Enrichment Country,PassiveTotal Enrichment Longitude,PassiveTotal Enrichment Latitude,PassiveTotal Enrichment Sinkhole,PassiveTotal Enrichment ASN,PassiveTotal Enrichment ASN Name,PassiveTotal Enrichment Ever Compromised,PassiveTotal Enrichment Primary Domain,PassiveTotal Enrichment Dynamic DNS,PassiveTotal Enrichment Sub Domains,PassiveTotal Enrichment Top Level Domain,PassiveTotal Malware Samples,PassiveTotal OSInt Samples,Shodan Org,Shodan ISP,Shodan Hostnames,Shodan ASN,Shodan Ports,Shodan City,Shodan Region Code,Shodan Postal Code,Shodan Country Name,Shodan Country Code,Shodan Country Code 3,Shodan Tags,Shodan Area Code,Shodan DMA Code,Shodan Last Update,Shodan Latitude,Shodan Longitude,Shodan Total Hits,Shodan URL,Censys IPv4 Tags,Censys IPv4 Updated At,Censys IPv4 City,Censys IPv4 Province,Censys IPv4 Country,Censys IPv4 Country Code,Censys IPv4 Longitude,Censys IPv4 Latitude,Censys IPv4 Registered Country,Censys IPv4 Registered Country Code,Censys IPv4 Postal Code,Censys IPv4 Time Zone,Censys IPv4 Continent,Censys IPv4 ASN Org,Censys IPv4 ASN Description,Censys IPv4 ASN RIR,Censys IPv4 ASN Routed Prefix,Censys IPv4 ASN Country Code,Censys IPv4 ASN Path,Censys IPv4 ASN ASN,Censys IPv4 ASN Name,Censys IPv4 Protocols,Censys Matching Endpoints,Censys URL,ThreatCrowd URL,ThreatCrowd Votes,ThreatCrowd References,ThreatCrowd Number of Hashes,ThreatCrowd Number of Resolutions,ThreatCrowd Number of Subdomains,ThreatCrowd Emails,OTX URL,OTX General Postal Code,OTX General Country Code,OTX General City,OTX General Whois,OTX General DMA Code,OTX General Country Name,OTX General Area Code,OTX General Continent Code,OTX General Latitude,OTX General Longitude,OTX General ASN,OTX General Country Code 3,OTX Reputation AS,OTX Reputation Threat Score,OTX Reputation First Seen,OTX Reputation Tags,OTX Reputation Last Seen,OTX Reputation Org,OTX Reputation Country,ISC URL,ISC Count,ISC Comment,ISC Updated,ISC Threat Feeds,ISC Network,ISC Attacks,ISC Min Date,ISC Max Date,ISC Number,ISC Max Risk,ISC AS,ISC AS Name,ISC AS Size,ISC AS Country,ISC AS Abuse Contact,ISC Alexa Domains,ISC Alexa Last Rank,ISC Alexa Host Name,ISC Alexa First Seen,ISC Alexa Last Seen
172.98.67.99,172.98.67.99,,Canada,M5E,Toronto,Ontario,43.648,-79.3816,0,0,,https://www.virustotal.com/en/ip-address/172.98.67.99/information/,noc@totalserversolutions.com,rwhois://208.78.43.3:4321,2015-06-14,TSS NOC HSI Abuse,TSS NOC NOC,Total Server Solutions L.L.C.,,us,Administered by ARIN,172.98.67.0/24,blocklist; ssh; colo_at_55,N/A,,,False,46562,COLO-AT-55-LLC - Colo at 55,False,,,,,0,1,Hosting Services,Total Server Solutions L.L.C.,,,4500; 22738; 500; 1723; 80; 38466; 52544; 22; 8888,Toronto,ON,M5E,Canada,CA,CAN,vpn,None,None,2016-09-14T00:53:00.988678,43.648,-79.3816,,https://www.shodan.io/host/172.98.67.99,ssh,2016-08-24T18:00:05+00:00,,,United States,US,-97.0,38.0,United States,US,,,North America,"Total Server Solutions L.L.C., US","TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C., US",unknown,172.98.67.0/24,,"[7018, 1299, 5580, 46562, 46562, 46562]",46562,TOTAL-SERVER-SOLUTIONS,443/https; 110/pop3; 22/ssh,,https://censys.io/ipv4/172.98.67.99,https://www.threatcrowd.org/ip.php?ip=172.98.67.99,0,,0,0,0,,https://otx.alienvault.com/indicator/ip/172.98.67.99,M5E,CA,Toronto,http://whois.domaintools.com/172.98.67.99,0,Canada,0,NA,43.6479988098,-79.3815994263,AS46562 Total Server Solutions L.L.C.,CAN,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=172.98.67.99,270,None,2016-09-04 01:54:19,forumspam; blocklistde22,172.98.67.0/24,109,2015-10-12,2016-09-03,172.98.67.99,None,46562,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.,",42372,US,noc@totalserversolutions.com,,,,,
173.252.90.36,173.252.90.36,edge-star-mini-shv-13-atn1.facebook.com.,United States,94025,Menlo Park,California,37.459,-122.1781,7,7,,https://www.virustotal.com/en/ip-address/173.252.90.36/information/,noc@fb.com,whois.arin.net,2007-12-02,Operations,Operations,"Facebook, Inc.",,us,ARIN,173.252.64.0/19,malware; facebook,US,-122.1781,37.459,False,32934,FACEBOOK - Facebook,False,,,,,6000,0,Facebook,Facebook,edge-star-mini-shv-13-atn1.facebook.com,AS32934,80; 443,Menlo Park,CA,94025,United States,US,USA,,650,807,2016-08-31T04:19:14.876018,37.459,-122.1781,,https://www.shodan.io/host/173.252.90.36,http; https,2016-09-16T00:47:35+00:00,Menlo Park,California,United States,US,-122.1822,37.4538,United States,US,94025,America/Los_Angeles,North America,"Facebook, Inc., US","FACEBOOK - Facebook, Inc., US",unknown,173.252.88.0/21,,[32934],32934,FACEBOOK,80/http; 443/https,,https://censys.io/ipv4/173.252.90.36,https://www.threatcrowd.org/ip.php?ip=173.252.90.36,0,,5,50,0,,https://otx.alienvault.com/indicator/ip/173.252.90.36,94025,US,Menlo Park,http://whois.domaintools.com/173.252.90.36,807,United States,650,NA,37.4538002014,-122.182197571,"AS32934 Facebook, Inc.",USA,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=173.252.90.36,1284,None,2016-09-16 08:20:26,,173.252.88.0/21,771,2016-03-30,2016-09-16,173.252.90.36,None,32934,"FACEBOOK - Facebook, Inc.,",54513,US,domain@facebook.com,,,,,
173.252.90.37,173.252.90.37,edge-z-m-mini-shv-13-atn1.facebook.com.,United States,94025,Menlo Park,California,37.459,-122.1781,0,0,,https://www.virustotal.com/en/ip-address/173.252.90.37/information/,domain@facebook.com,whois.arin.net,2007-12-02,Operations,Operations,"Facebook, Inc.",,us,ARIN,173.252.64.0/19,facebook,US,-122.1781,37.459,False,32934,FACEBOOK - Facebook,False,,,,,0,0,Facebook,Facebook,edge-z-m-mini-shv-13-atn1.facebook.com,AS32934,80; 443,Menlo Park,CA,94025,United States,US,USA,,650,807,2016-09-06T17:41:27.324314,37.459,-122.1781,,https://www.shodan.io/host/173.252.90.37,http; https,2016-09-15T17:53:23+00:00,Menlo Park,California,United States,US,-122.1822,37.4538,United States,US,94025,America/Los_Angeles,North America,"Facebook, Inc., US","FACEBOOK - Facebook, Inc., US",unknown,173.252.88.0/21,,[32934],32934,FACEBOOK,80/http; 443/https,,https://censys.io/ipv4/173.252.90.37,https://www.threatcrowd.org/ip.php?ip=173.252.90.37,0,,0,5,0,,https://otx.alienvault.com/indicator/ip/173.252.90.37,94025,US,Menlo Park,http://whois.domaintools.com/173.252.90.37,807,United States,650,NA,37.4538002014,-122.182197571,"AS32934 Facebook, Inc.",USA,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=173.252.90.37,9,None,2016-09-07 05:19:20,,173.252.88.0/21,9,2016-05-24,2016-09-07,173.252.90.37,None,32934,"FACEBOOK - Facebook, Inc.,",54513,US,domain@facebook.com,,,,,
177.35.121.17,177.35.121.17,b1237911.virtua.com.br.,Brazil,None,Campo Grande,Mato Grosso do Sul,-20.45,-54.6167,0,0,,https://www.virustotal.com/en/ip-address/177.35.121.17/information/,,whois.lacnic.net,2009-12-06,,,,,,LACNIC,177.35.112.0/20,netservios_de_comunicao_sa,BR,-54.6167,-20.45,False,28573,NET Servios de Comunicao S.A.,False,,,,,0,0,NET Virtua,Virtua,b1237911.virtua.com.br,AS28573,554,Campo Grande,11,None,Brazil,BR,BRA,,None,None,2016-08-27T02:34:09.626424,-20.45,-54.6167,,https://www.shodan.io/host/177.35.121.17,,2016-07-05T19:53:44+00:00,Campo Grande,Mato Grosso do Sul,Brazil,BR,-54.6167,-20.45,Brazil,BR,,America/Campo_Grande,South America,"S.A., BR","CLARO S.A., BR",unknown,177.35.112.0/20,,"[7018, 1299, 4230, 28573]",28573,CLARO,23/telnet,,https://censys.io/ipv4/177.35.121.17,https://www.threatcrowd.org/ip.php?ip=177.35.121.17,,,0,0,0,,https://otx.alienvault.com/indicator/ip/177.35.121.17,None,BR,Campo Grande,http://whois.domaintools.com/177.35.121.17,0,Brazil,0,SA,-20.4500007629,-54.6166992188,AS28573 CLARO S.A.,BRA,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=177.35.121.17,46,None,2016-09-06 16:09:38,,177.35.112.0/20,39,2016-08-15,2016-09-06,177.35.121.17,None,28573,"CLARO S.A.,",6290711,BR,virtua@virtua.com.br,,,,,
182.38.8.86,182.38.8.86,,China,None,Jinan,Shandong,36.6683,116.9972,0,0,,https://www.virustotal.com/en/ip-address/182.38.8.86/information/,ipreport@sdtele.com,whois.apnic.net,2008-12-08,,,CHINANET-SD,CHINANET SHANDONG PROVINCE NETWORK,,APNIC,182.32.0.0/12,chinanet-backboneno31,CN,116.9972,36.6683,False,4134,CHINANET-BACKBONE No.31,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/182.38.8.86,https://www.threatcrowd.org/ip.php?ip=182.38.8.86,,,0,0,0,,https://otx.alienvault.com/indicator/ip/182.38.8.86,None,CN,Jinan,http://whois.domaintools.com/182.38.8.86,0,China,0,AS,36.6683006287,116.997200012,AS4134 Chinanet,CHN,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=182.38.8.86,8,None,2016-08-26 07:43:42,,182.32.0.0/12,8,2016-08-25,2016-08-25,182.38.8.86,None,4134,"CHINANET-BACKBONE No.31,Jin-rong Street,",108902447,CN,anti-spam@ns.chinanet.cn.net,,,,,
183.129.225.130,183.129.225.130,,China,None,Tonglu,Zhejiang,29.81,119.6711,0,0,,https://www.virustotal.com/en/ip-address/183.129.225.130/information/,anti_spam@mail.hz.zj.cn,whois.apnic.net,2008-12-04,,CHINANET-ZJ Hangzhou,TONGLU-JIAOTONGYUNSHUJU,Tonglu County Transport Bureau,cn,APNIC,183.128.0.0/11,chinanet-backboneno31,CN,120.1614,30.2936,False,4134,CHINANET-BACKBONE No.31,False,,,,,0,0,Tonglu County Transport Bureau,China Telecom Zhejiang,,AS4134,554,Tonglu,02,None,China,CN,CHN,,None,None,2016-09-12T08:08:50.102002,29.81,119.6711,,https://www.shodan.io/host/183.129.225.130,http,2016-04-21T00:51:02+00:00,Tonglu,Zhejiang Sheng,China,CN,119.6711,29.81,China,CN,,Asia/Shanghai,Asia,"No.31,Jin-rong Street, CN","CHINANET-BACKBONE No.31,Jin-rong Street, CN",unknown,183.128.0.0/11,,"[7018, 4134]",4134,CHINANET-BACKBONE,80/http,,https://censys.io/ipv4/183.129.225.130,https://www.threatcrowd.org/ip.php?ip=183.129.225.130,,,0,0,0,,https://otx.alienvault.com/indicator/ip/183.129.225.130,None,CN,Tonglu,http://whois.domaintools.com/183.129.225.130,0,China,0,AS,29.8099994659,119.671096802,AS4134 Chinanet,CHN,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=183.129.225.130,15,None,2016-08-29 23:12:01,,183.128.0.0/11,15,2016-08-24,2016-08-29,183.129.225.130,None,4134,"CHINANET-BACKBONE No.31,Jin-rong Street,",108902447,CN,anti-spam@ns.chinanet.cn.net,,,,,
183.60.48.25,183.60.48.25,,China,None,Guangzhou,Guangdong,23.1167,113.25,0,0,,https://www.virustotal.com/en/ip-address/183.60.48.25/information/,gdnoc_HLWI@189.cn,whois.apnic.net,2008-12-04,,,CHINANET-GD,CHINANET Guangdong province network,cn,APNIC,183.60.48.0/20,chinanet-idc-gdchina_telecom_group,CN,113.25,23.1167,False,4816,CHINANET-IDC-GD China Telecom (Group),False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/183.60.48.25,https://www.threatcrowd.org/ip.php?ip=183.60.48.25,-1,"
https://8ack.de/analysen/swell_on_horizon-bittorrent_ddos_scans
https://8ack.de/core/bimages/swell-on-horizon/scanner-ips.txt
https://otx.alienvault.com/pulse/55e4d0ef67db8c7bb8cba822/
https://otx.alienvault.com/pulse/56bb0d654637f20e8bbf03c6/
https://otx.alienvault.com/pulse/577e5c08b999b3013b6f25f6/%7Chttp://blog.dynamoo.com/2016/04/plusserver-has-plussized-problem-with.html
https://www.packetmail.net/iprep.txt",0,1,0,,https://otx.alienvault.com/indicator/ip/183.60.48.25,None,CN,Guangzhou,http://whois.domaintools.com/183.60.48.25,0,China,0,AS,23.1166992188,113.25,AS4816 China Telecom (Group),CHN,4134,2,2013-06-30T19:15:24,Malicious Host; Scanning Host,2015-10-29T22:55:44,China Telecom Guangdong,CN (China),https://isc.sans.edu/ipinfo.html?ip=183.60.48.25,410823,None,2016-09-12 09:15:44,blocklistdeapache; blocklistde80; ciarmy; blocklistde443,183.60.48.0/20,54090,2015-10-08,2016-09-05,183.60.48.25,None,4816,"CHINANET-IDC-GD China Telecom (Group),",None,CN,anti-spam@ns.chinanet.cn.net,,,,,
183.60.48.25,183.60.48.25,,China,None,Guangzhou,Guangdong,23.1167,113.25,0,0,,https://www.virustotal.com/en/ip-address/183.60.48.25/information/,gdnoc_HLWI@189.cn,whois.apnic.net,2008-12-04,,,CHINANET-GD,CHINANET Guangdong province network,cn,APNIC,183.60.48.0/20,chinanet-idc-gdchina_telecom_group,CN,113.25,23.1167,False,4816,CHINANET-IDC-GD China Telecom (Group),False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/183.60.48.25,https://www.threatcrowd.org/ip.php?ip=183.60.48.25,-1,"
https://8ack.de/analysen/swell_on_horizon-bittorrent_ddos_scans
https://8ack.de/core/bimages/swell-on-horizon/scanner-ips.txt
https://otx.alienvault.com/pulse/55e4d0ef67db8c7bb8cba822/
https://otx.alienvault.com/pulse/56bb0d654637f20e8bbf03c6/
https://otx.alienvault.com/pulse/577e5c08b999b3013b6f25f6/%7Chttp://blog.dynamoo.com/2016/04/plusserver-has-plussized-problem-with.html
https://www.packetmail.net/iprep.txt",0,1,0,,https://otx.alienvault.com/indicator/ip/183.60.48.25,None,CN,Guangzhou,http://whois.domaintools.com/183.60.48.25,0,China,0,AS,23.1166992188,113.25,AS4816 China Telecom (Group),CHN,4134,2,2013-06-30T19:15:24,Malicious Host; Scanning Host,2015-10-29T22:55:44,China Telecom Guangdong,CN (China),https://isc.sans.edu/ipinfo.html?ip=183.60.48.25,410823,None,2016-09-12 09:15:44,blocklistdeapache; blocklistde80; ciarmy; blocklistde443,183.60.48.0/20,54090,2015-10-08,2016-09-05,183.60.48.25,None,4816,"CHINANET-IDC-GD China Telecom (Group),",None,CN,anti-spam@ns.chinanet.cn.net,,,,,
186.213.27.174,186.213.27.174,186.213.27.174.static.host.gvt.net.br.,Brazil,None,None,None,-22.8305,-43.2192,0,0,,https://www.virustotal.com/en/ip-address/186.213.27.174/information/,,whois.lacnic.net,2006-12-09,,,,,,LACNIC,186.213.0.0/19,globalglobal_village_telecom,BR,-41.4167,-3.3167,False,18881,Global Village Telecom,False,,,,,0,0,Global Village Telecom,Global Village Telecom,186.213.27.174.static.host.gvt.net.br,AS18881,554; 7547,Fortaleza,06,None,Brazil,BR,BRA,,None,None,2016-08-26T08:18:43.838271,-3.3167,-41.4167,,https://www.shodan.io/host/186.213.27.174,http,2016-09-11T19:24:25+00:00,Cocal,Piaui,Brazil,BR,-41.4167,-3.3167,Brazil,BR,,America/Fortaleza,South America,,"Global Village Telecom, BR",unknown,186.213.0.0/19,,"[11164, 3549, 18881]",18881,"Global Village Telecom, BR",80/http,,https://censys.io/ipv4/186.213.27.174,https://www.threatcrowd.org/ip.php?ip=186.213.27.174,,,0,0,0,,https://otx.alienvault.com/indicator/ip/186.213.27.174,None,BR,Fortaleza,http://whois.domaintools.com/186.213.27.174,0,Brazil,0,SA,-3.31669998169,-41.4166984558,AS18881 TELEFÔNICA BRASIL S.A,BRA,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=186.213.27.174,10,None,2016-08-26 06:09:13,,186.213.0.0/19,9,2016-08-24,2016-08-26,186.213.27.174,None,18881,"Global Village Telecom,",3549046,BR,registro@gvt.com.br,,,,,
190.231.126.177,190.231.126.177,host177.190-231-126.telecom.net.ar.,Argentina,1657,Buenos Aires,Buenos Aires F.D.,-34.5417,-58.5583,0,0,,https://www.virustotal.com/en/ip-address/190.231.126.177/information/,abuse@TA.TELECOM.COM.AR,whois.lacnic.net,1994-12-06,,,,,,LACNIC,190.231.120.0/21,telecomtelecom_argentina_sa,AR,-58.5244,-34.5707,False,7303,Telecom Argentina S.A.,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/190.231.126.177,https://www.threatcrowd.org/ip.php?ip=190.231.126.177,,,0,0,0,,https://otx.alienvault.com/indicator/ip/190.231.126.177,1657,AR,Buenos Aires,http://whois.domaintools.com/190.231.126.177,0,Argentina,0,SA,-34.5416984558,-58.5583000183,AS7303 Telecom Argentina S.A.,ARG,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=190.231.126.177,None,None,None,,190.231.120.0/21,None,None,None,190.231.126.177,None,7303,"Telecom Argentina S.A.,",2695949,AR,ipadmin@TA.TELECOM.COM.AR,,,,,
195.211.148.78,195.211.148.78,public-78.WATSON.ZP.UA.,Ukraine,None,Zaporizhia,Zaporizhia,47.85,35.2833,0,0,,https://www.virustotal.com/en/ip-address/195.211.148.78/information/,admin@cn.zp.ua,whois.ripe.net,1992-12-05,CN Coordination Center,CN Coordination Center,Watson-NET,,ua,RIPE NCC,195.211.148.0/24,watsonakhtanina_natalia_sergeevna,UA,32.0,49.0,False,43819,WATSON PE Akhtanina Natalia Sergeevna,False,,,,,0,0,PE Akhtanina Natalia Sergeevna,PE Akhtanina Natalia Sergeevna,public-78.WATSON.ZP.UA,AS43819,2000; 179; 23; 80,Zaporozhye,26,None,Ukraine,UA,UKR,,None,None,2016-09-14T14:19:50.290380,47.85,35.2833,,https://www.shodan.io/host/195.211.148.78,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/195.211.148.78,https://www.threatcrowd.org/ip.php?ip=195.211.148.78,0,https://otx.alienvault.com/pulse/57965bb8146a8a0134b2a9d1/%7Chttps://www.autoshun.org/about/,0,0,0,,https://otx.alienvault.com/indicator/ip/195.211.148.78,None,UA,Zaporozhye,http://whois.domaintools.com/195.211.148.78,0,Ukraine,0,EU,47.8499984741,35.2832984924,AS43819 WATSON,UKR,43819,2,2015-02-23T08:14:10,Scanning Host,2015-02-23T08:14:10,PE Akhtanina Natalia Sergeevna,UA (Ukraine),https://isc.sans.edu/ipinfo.html?ip=195.211.148.78,308,None,2016-09-15 01:14:48,blocklistdeapache; blocklistde80; blocklistde443,195.211.148.0/24,161,2016-07-01,2016-09-13,195.211.148.78,None,43819,"WATSON ,",1530,UA,admin@cn.zp.ua,,,,,
195.211.148.78,195.211.148.78,public-78.WATSON.ZP.UA.,Ukraine,None,Zaporizhia,Zaporizhia,47.85,35.2833,0,0,,https://www.virustotal.com/en/ip-address/195.211.148.78/information/,admin@cn.zp.ua,whois.ripe.net,1992-12-05,CN Coordination Center,CN Coordination Center,Watson-NET,,ua,RIPE NCC,195.211.148.0/24,watsonakhtanina_natalia_sergeevna,UA,32.0,49.0,False,43819,WATSON PE Akhtanina Natalia Sergeevna,False,,,,,0,0,PE Akhtanina Natalia Sergeevna,PE Akhtanina Natalia Sergeevna,public-78.WATSON.ZP.UA,AS43819,2000; 179; 23; 80,Zaporozhye,26,None,Ukraine,UA,UKR,,None,None,2016-09-14T14:19:50.290380,47.85,35.2833,,https://www.shodan.io/host/195.211.148.78,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/195.211.148.78,https://www.threatcrowd.org/ip.php?ip=195.211.148.78,0,https://otx.alienvault.com/pulse/57965bb8146a8a0134b2a9d1/%7Chttps://www.autoshun.org/about/,0,0,0,,https://otx.alienvault.com/indicator/ip/195.211.148.78,None,UA,Zaporozhye,http://whois.domaintools.com/195.211.148.78,0,Ukraine,0,EU,47.8499984741,35.2832984924,AS43819 WATSON,UKR,43819,2,2015-02-23T08:14:10,Scanning Host,2015-02-23T08:14:10,PE Akhtanina Natalia Sergeevna,UA (Ukraine),https://isc.sans.edu/ipinfo.html?ip=195.211.148.78,308,None,2016-09-15 01:14:48,blocklistdeapache; blocklistde80; blocklistde443,195.211.148.0/24,161,2016-07-01,2016-09-13,195.211.148.78,None,43819,"WATSON ,",1530,UA,admin@cn.zp.ua,,,,,
198.20.69.74,198.20.69.74,census1.shodan.io.,United States,60661,Chicago,Illinois,41.8825,-87.6441,5,0,,https://www.virustotal.com/en/ip-address/198.20.69.74/information/,abuse@singlehop.com,rwhois://rwhois.singlehop.net:4321,2012-08-23,Abuse Department,Network Operations,"SingleHop, Inc.",,us,Administered by ARIN,198.20.64.0/18,singlehop,US,-87.6441,41.8825,False,32475,SINGLEHOP-INC - SingleHop,False,,,,,0,0,SingleHop,SingleHop,census1.xxx.xxx.xxx.xxx,AS32475,44813; 51403; 4500; 42662; 46007; 500; 40676; 53981; 53730; 49304; 22; 49967; 56439; 39469; 55515; 55513; 46958; 38751; 59074; 38981,Chicago,IL,60661,United States,US,USA,vpn,312,602,2016-09-15T07:47:21.413526,41.8825,-87.6441,,https://www.shodan.io/host/198.20.69.74,ssh,2016-08-25T13:40:08+00:00,Chicago,Illinois,United States,US,-87.6441,41.8825,United States,US,60661,America/Chicago,North America,"SingleHop, Inc., US","SINGLEHOP-LLC - SingleHop, Inc., US",unknown,198.20.64.0/18,,"[7018, 6461, 32475]",32475,SINGLEHOP-LLC,22/ssh,,https://censys.io/ipv4/198.20.69.74,https://www.threatcrowd.org/ip.php?ip=198.20.69.74,0,"
http://openbl.org/lists/base_all_ftp-only
https://otx.alienvault.com/pulse/561ef6fa4637f21ecf2a9624/
https://otx.alienvault.com/pulse/5736528c1116a00120ccb652/%7Chttps://www.openbl.org/",0,2,0,,https://otx.alienvault.com/indicator/ip/198.20.69.74,60661,US,Chicago,http://whois.domaintools.com/198.20.69.74,602,United States,312,NA,41.8824996948,-87.6440963745,"AS32475 SingleHop, Inc.",USA,32475,3,2016-09-06T07:08:25,Malicious Host,2016-09-12T20:12:06,SingleHop,US (United States),https://isc.sans.edu/ipinfo.html?ip=198.20.69.74,76697,scanner for ShodanHQ,2016-09-17 16:08:09,shodan; openbl_ftp; ciarmy; webiron,198.20.64.0/18,9746,2015-10-08,2016-09-17,198.20.69.74,10,32475,"SINGLEHOP-LLC - SingleHop, Inc.,",266718,US,abuse@singlehop.com,,,,,
200.193.38.48,200.193.38.48,200-193-38-48.troce201.dial.brasiltelecom.net.br.,Brazil,None,None,None,-22.8305,-43.2192,0,0,,https://www.virustotal.com/en/ip-address/200.193.38.48/information/,,whois.lacnic.net,2001-11-01,,,,,,LACNIC,200.193.0.0/17,filial_distrito_federal,BR,-55.0,-10.0,False,8167,Brasil Telecom S/A - Filial Distrito Federal,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,2016-09-15T00:24:41+00:00,,,Brazil,BR,-43.2192,-22.8305,Brazil,BR,,,South America,,"Brasil Telecom S/A - Filial Distrito Federal, BR",unknown,200.193.0.0/17,,"[7018, 1299, 7738, 8167]",8167,"Brasil Telecom S/A - Filial Distrito Federal, BR",7547/cwmp,,https://censys.io/ipv4/200.193.38.48,https://www.threatcrowd.org/ip.php?ip=200.193.38.48,,,0,0,0,,https://otx.alienvault.com/indicator/ip/200.193.38.48,None,BR,None,http://whois.domaintools.com/200.193.38.48,0,Brazil,0,SA,-22.830499649,-43.2192001343,AS8167 Brasil Telecom S/A - Filial Distrito Federal,BRA,,,,,,,,https://isc.sans.edu/ipinfo.html?ip=200.193.38.48,1,None,2016-08-26 17:06:04,,200.193.0.0/16,1,2016-08-26,2016-08-26,200.193.38.48,None,8167,"Brasil Telecom S/A - Filial Distrito Federal,",3792157,BR,ld-numeracaoip@oi.net.br,,,,,
209.126.117.68,209.126.117.68,usloft4268.dedicatedpanel.com.,United States,63101,St Louis,Missouri,38.6312,-90.1922,1,0,,https://www.virustotal.com/en/ip-address/209.126.117.68/information/,sascha.wintz@heg.com,whois.arin.net,1995-12-06,server4you Abuse Department,"Wintz, Sascha",server4you Inc.,,us,ARIN,209.126.96.0/19,hosting_solutions_international,US,-90.5016,38.71,False,30083,SERVER4YOU - Hosting Solutions International,False,,,,,0,0,Hosting Solutions International,Hosting Solutions International,usloft4268.dedicatedpanel.com,AS6428,22; 80; 443; 465,Saint Louis,MO,63101,United States,US,USA,,314,609,2016-09-13T15:19:48.735184,38.6312,-90.1922,,https://www.shodan.io/host/209.126.117.68,smtp; ssh,2016-09-11T01:30:35+00:00,St Louis,Missouri,United States,US,-90.1922,38.6312,United States,US,63101,America/Chicago,North America,"server4you Inc., US","SERVER4YOU - server4you Inc., US",unknown,209.126.96.0/19,,"[7018, 1299, 30083]",30083,SERVER4YOU,22/ssh; 465/smtps; 25/smtp,,https://censys.io/ipv4/209.126.117.68,https://www.threatcrowd.org/ip.php?ip=209.126.117.68,,,0,0,0,,https://otx.alienvault.com/indicator/ip/209.126.117.68,63101,US,Saint Louis,http://whois.domaintools.com/209.126.117.68,609,United States,314,NA,38.6311988831,-90.192199707,AS30083 server4you Inc.,USA,30083,2,2016-09-02T18:40:26,Malicious Host,2016-09-08T19:37:29,Hosting Solutions International,US (United States),https://isc.sans.edu/ipinfo.html?ip=209.126.117.68,16566,None,2016-09-17 13:24:25,blocklistdeapache; blocklistde80; ciarmy; blocklistde443,209.126.96.0/19,913,2016-07-18,2016-09-16,209.126.117.68,None,30083,"SERVER4YOU - server4you Inc.,",31737,US,abuse@server4you.com,,,,,
